room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,suburb
6305504,11914644,Entire home/apt,Eastern Suburbs,2,0,6,4,546,-33.897312,151.248328,Queens Park
17408154,117712852,Entire home/apt,Northern Beaches,0,0,10,4,546,-33.772956,151.254923,Allambie Heights
4951338,13751592,Entire home/apt,Northern Beaches,0,0,10,5,701,-33.75523,151.298979,Dee Why
15772645,16357713,Entire home/apt,Northern Beaches,0,0,6,4,577,-33.796934,151.246174,Seaforth
14807303,70570922,Entire home/apt,Inner Sydney,0,0,5,1,205,-33.87552,151.213344,Darlinghurst
12933747,70570922,Entire home/apt,Inner Sydney,5,4,5,0,190,-33.877337,151.212938,Surry Hills
13287135,70570922,Entire home/apt,Inner Sydney,1,0,5,0,190,-33.877008,151.213285,Darlinghurst
17769023,24026420,Entire home/apt,Inner Sydney,2,0,6,2,126,-33.881972,151.212125,Surry Hills
9139053,3231371,Entire home/apt,Lower Northern Sydney,0,0,12,5,1559,-33.821603,151.246319,Mosman
15760037,3046924,Entire home/apt,Northern Beaches,0,0,8,4,2338,-33.802042,151.292779,Manly
15591548,11914644,Entire home/apt,Northern Beaches,0,0,13,6,1999,-33.806473,151.257777,Balgowlah Heights
15772011,3046924,Entire home/apt,Inner Sydney,0,0,6,3,1949,-33.870182,151.228117,Elizabeth Bay
17479352,11914644,Entire home/apt,Lower Northern Sydney,0,0,8,4,2456,-33.827961,151.252072,Mosman
14917163,30021442,Entire home/apt,Northern Beaches,0,0,10,5,1637,-33.7824,151.277696,North Manly
14827134,16026854,Entire home/apt,Eastern Suburbs,0,0,8,4,1949,-33.878309,151.28157,Dover Heights
18999902,6232360,Entire home/apt,Eastern Suburbs,0,0,8,4,1949,-33.870261,151.236114,Darling Point
19422203,41215678,Entire home/apt,Northern Beaches,0,0,14,7,2007,-33.803112,151.242765,Seaforth
4606194,18257267,Entire home/apt,Northern Beaches,1,0,8,4,1559,-33.595971,151.322711,Palm Beach
10735408,43736801,Entire home/apt,Lower Northern Sydney,3,5,12,6,1559,-33.841683,151.232509,Mosman
16923529,113040569,Entire home/apt,Inner Sydney,0,0,6,3,1949,-33.865325,151.20551,Sydney
9979947,50163241,Entire home/apt,Central Northern Sydney,2,0,10,5,2728,-33.661717,151.00818,Kenthurst
14695563,16357713,Entire home/apt,Lower Northern Sydney,0,0,8,4,1053,-33.83223,151.25026,Mosman
15759841,11914644,Entire home/apt,Eastern Suburbs,0,0,8,4,1263,-33.879286,151.261043,Bellevue Hill
15819505,99141846,Entire home/apt,Lower Northern Sydney,0,0,8,5,1309,-33.814303,151.247438,Mosman
15470998,99141846,Entire home/apt,Lower Northern Sydney,0,0,6,3,1403,-33.814006,151.245468,Mosman
15208167,3231371,Entire home/apt,Eastern Suburbs,0,0,7,3,1169,-33.884957,151.263595,Bellevue Hill
13250554,7409213,Entire home/apt,Northern Beaches,4,5,12,5,1216,-33.641509,151.293734,Scotland Island
15015350,4995302,Entire home/apt,Eastern Suburbs,0,0,8,4,1169,-33.869579,151.283737,Dover Heights
12796839,57670654,Entire home/apt,Northern Beaches,1,0,8,4,1053,-33.592875,151.320578,Palm Beach
19001075,70093897,Entire home/apt,Northern Beaches,0,0,6,3,1130,-33.647108,151.320347,Bilgola Plateau
11064388,21267200,Entire home/apt,Northern Beaches,0,0,13,6,1092,-33.686137,151.304324,Mona Vale
15379192,58503535,Entire home/apt,Northern Beaches,2,0,15,6,1169,-33.597048,151.320447,Palm Beach
9926941,43218877,Entire home/apt,Northern Beaches,6,5,6,3,1092,-33.801946,151.299037,Manly
13266118,19715912,Entire home/apt,Eastern Suburbs,0,0,10,5,1169,-33.902574,151.267737,Bronte
15166461,66418211,Entire home/apt,Northern Beaches,1,0,9,4,1130,-33.662653,151.317897,Newport
16780997,99148072,Entire home/apt,Northern Beaches,3,5,14,5,1326,-33.605062,151.320927,Palm Beach
16679897,76638560,Entire home/apt,Eastern Suburbs,0,0,8,5,1169,-33.84788,151.2803,Vaucluse
1004507,5525323,Entire home/apt,Eastern Suburbs,0,0,8,4,1169,-33.909823,151.26495,Bronte
9102568,46745174,Entire home/apt,Eastern Suburbs,0,0,5,3,1169,-33.850227,151.284184,Vaucluse
16288590,80827940,Entire home/apt,Lower Northern Sydney,0,0,16,10,1247,-33.836984,151.256087,Mosman
14583828,3231371,Entire home/apt,Eastern Suburbs,0,0,8,4,1442,-33.869137,151.278304,Rose Bay
698337,3579459,Entire home/apt,Eastern Suburbs,0,0,9,5,760,-33.908995,151.260673,Bronte
1869962,8407099,Entire home/apt,Eastern Suburbs,0,0,8,5,935,-33.88473,151.248407,Woollahra
14600012,2724065,Entire home/apt,Eastern Suburbs,0,0,8,4,585,-33.915397,151.25777,Coogee
13591144,78521754,Entire home/apt,Northern Beaches,0,0,8,4,546,-33.771826,151.279244,Freshwater
17437561,117246037,Entire home/apt,Northern Beaches,0,0,11,5,585,-33.656725,151.322137,Newport
5513521,7030119,Entire home/apt,Eastern Suburbs,2,0,6,3,682,-33.877352,151.23956,Double Bay
14776388,79349891,Entire home/apt,Northern Beaches,0,0,9,4,623,-33.791404,151.283741,Manly
2710421,13871362,Entire home/apt,Eastern Suburbs,2,0,10,4,616,-33.907228,151.217152,Kensington
7227844,5214763,Entire home/apt,Eastern Suburbs,1,0,7,5,546,-33.854474,151.282314,Vaucluse
8691351,44641884,Entire home/apt,Northern Beaches,3,4.5,10,4,546,-33.796075,151.264266,Balgowlah
4386709,20840194,Entire home/apt,Blacktown,8,4.5,7,3,144,-33.714069,150.923309,Stanhope Gardens
10141729,52046758,Entire home/apt,Eastern Suburbs,0,0,5,2,85,-33.883248,151.234589,Paddington
14433362,43218877,Entire home/apt,Northern Beaches,0,0,4,4,63,-33.73155,151.217961,Belrose
13646296,63031441,Entire home/apt,Northern Beaches,2,0,4,2,81,-33.688539,151.295328,Warriewood
9826301,50609450,Entire home/apt,Eastern Suburbs,2,0,6,3,33,-33.885265,151.271071,North Bondi
9979116,11914644,Entire home/apt,Northern Beaches,0,0,10,5,1964,-33.595243,151.324676,Palm Beach
16709155,11914644,Entire home/apt,Northern Beaches,0,0,9,4,1964,-33.604556,151.331361,Palm Beach
14937077,3046924,Entire home/apt,Northern Beaches,0,0,8,4,1949,-33.662954,151.322599,Newport
9617475,3231371,Entire home/apt,Northern Beaches,1,0,12,8,2338,-33.600078,151.31809,Palm Beach
18348122,3231371,Entire home/apt,Eastern Suburbs,0,0,12,4,1559,-33.854925,151.28101,Vaucluse
13963713,7409213,Entire home/apt,Eastern Suburbs,0,0,12,6,1893,-33.882721,151.252212,Bellevue Hill
18275826,11914644,Entire home/apt,Eastern Suburbs,0,0,11,6,1754,-33.898588,151.272618,Tamarama
1511912,7409213,Entire home/apt,Eastern Suburbs,0,0,13,6,1949,-33.903234,151.259567,Bronte
14983913,3231371,Entire home/apt,Eastern Suburbs,0,0,8,4,1715,-33.887831,151.267857,Bondi Beach
13870686,3231371,Entire home/apt,Northern Beaches,0,0,11,6,3898,-33.649094,151.304548,Newport
11778036,3231371,Entire home/apt,Eastern Suburbs,0,0,15,3,4677,-33.875541,151.234443,Darling Point
13117801,3231371,Entire home/apt,Eastern Suburbs,0,0,10,2,3508,-33.873527,151.235301,Darling Point
12215726,3231371,Entire home/apt,Eastern Suburbs,0,0,8,4,1559,-33.881153,151.258292,Bellevue Hill
13086412,3231371,Entire home/apt,Eastern Suburbs,1,0,9,5,1559,-33.866714,151.283118,Dover Heights
9120472,3231371,Entire home/apt,Eastern Suburbs,1,0,6,3,1559,-33.880102,151.256321,Bellevue Hill
14443214,3231371,Entire home/apt,Eastern Suburbs,1,0,8,4,1559,-33.906128,151.269415,Bronte
13946264,3231371,Entire home/apt,Eastern Suburbs,0,0,6,2,4677,-33.871713,151.25685,Rose Bay
11400259,11914644,Entire home/apt,Eastern Suburbs,0,0,12,5,2309,-33.850854,151.276435,Vaucluse
5920943,3046924,Entire home/apt,Northern Beaches,0,0,12,6,4053,-33.60429,151.319991,Palm Beach
15636769,41215678,Entire home/apt,Lower Northern Sydney,0,0,10,5,1559,-33.830512,151.25618,Mosman
18377145,23717928,Entire home/apt,Northern Beaches,0,0,12,6,1793,-33.594327,151.323264,Palm Beach
11826454,11914644,Entire home/apt,Eastern Suburbs,0,0,8,5,1726,-33.876634,151.250077,Bellevue Hill
5551092,16026854,Entire home/apt,Eastern Suburbs,1,0,12,6,1559,-33.866654,151.271676,Rose Bay
4566895,7409213,Entire home/apt,Lower Northern Sydney,0,0,11,6,2027,-33.839099,151.173279,Woolwich
13606914,30021442,Entire home/apt,Northern Beaches,0,0,8,4,1754,-33.601729,151.316972,Palm Beach
18197632,23717928,Entire home/apt,Northern Beaches,0,0,8,4,1675,-33.594366,151.319123,Palm Beach
17612260,7409213,Entire home/apt,Inner Sydney,0,0,6,3,4053,-33.851761,151.187458,Birchgrove
13847716,66802782,Entire home/apt,Eastern Suburbs,0,0,12,6,2222,-33.903671,151.262396,Bronte
8373300,41215678,Entire home/apt,Lower Northern Sydney,0,0,10,5,1870,-33.840142,151.234204,Mosman
15503273,43736801,Entire home/apt,Eastern Suburbs,0,0,7,4,2728,-33.888473,151.274996,Bondi Beach
15136300,3231371,Entire home/apt,Eastern Suburbs,0,0,8,4,15590,-33.871738,151.256385,Rose Bay
5672896,20582809,Entire home/apt,Northern Beaches,0,0,10,4,1669,-33.663956,151.321803,Newport
9155251,16357713,Entire home/apt,Northern Beaches,1,0,12,7,1566,-33.596231,151.322743,Palm Beach
1548191,6676972,Entire home/apt,Northern Beaches,1,0,8,4,1961,-33.663223,151.317978,Newport
4379713,22741365,Entire home/apt,Northern Beaches,1,0,10,5,2222,-33.620995,151.320828,Avalon Beach
4746932,16026854,Entire home/apt,Eastern Suburbs,0,0,6,5,1715,-33.87453,151.251577,Bellevue Hill
